"LGC","Name","SUM","P","J","Y","K","N","H","M","E","U"
13101,"千代田区",97,2,19,12,5,3,6,7,85,0
13102,"中央区",178,0,2,1,1,1,1,3,176,0
13103,"港区",261,3,39,15,33,9,8,10,201,0
13104,"新宿区",152,28,66,23,23,18,16,13,135,0
13105,"文京区",138,21,73,35,26,19,19,17,123,0
13106,"台東区",165,4,27,12,31,45,44,22,157,0
13107,"墨田区",146,0,1,0,1,0,0,0,145,0
13108,"江東区",6,0,0,0,0,0,0,0,6,0
13109,"品川区",32,0,16,3,9,4,2,4,10,0
13110,"目黒区",60,13,47,10,5,1,6,12,18,1
13111,"大田区",235,3,32,22,120,78,26,39,6,16
13112,"世田谷区",289,44,134,29,158,37,35,66,83,2
13113,"渋谷区",78,6,41,7,34,17,4,2,9,4
13114,"中野区",94,6,67,15,17,11,6,3,7,4
13115,"杉並区",165,36,135,25,59,20,16,13,36,0
13116,"豊島区",16,1,12,4,5,1,4,5,12,0
13117,"北区",55,5,22,23,37,22,21,16,16,0
13118,"荒川区",7,1,3,2,0,2,2,3,5,0
13119,"板橋区",175,27,111,86,84,29,38,22,36,30
13120,"練馬区",106,52,93,27,15,12,15,15,20,0
13121,"足立区",27,0,2,2,19,8,7,8,8,0
13122,"葛飾区",27,0,1,4,15,13,12,15,11,1
13123,"江戸川区",13,0,1,3,2,2,2,6,2,4
13201,"八王子市",997,100,760,88,191,358,634,235,448,7
13202,"立川市",21,8,14,0,3,6,7,4,4,0
13203,"武蔵野市",5,3,3,0,0,2,3,0,0,0
13204,"三鷹市",55,27,48,3,17,21,15,8,36,0
13205,"青梅市",181,8,138,8,21,55,66,28,14,5
13206,"府中市",72,11,19,2,43,13,13,11,8,4
13207,"昭島市",46,4,24,0,6,11,20,4,3,1
13208,"調布市",91,19,46,7,61,37,27,22,24,0
13209,"町田市",912,56,738,102,178,511,565,135,102,14
13210,"小金井市",24,17,22,0,4,0,1,5,5,1
13211,"小平市",4,3,1,0,0,1,1,0,1,0
13212,"日野市",52,6,24,4,24,20,24,23,6,1
13213,"東村山市",148,22,120,13,49,49,52,54,4,3
13214,"国分寺市",46,19,36,1,0,25,23,6,1,0
13215,"国立市",55,5,14,0,34,8,18,9,11,0
13218,"福生市",19,0,16,0,1,0,4,2,1,1
13219,"狛江市",72,1,22,15,64,32,25,10,31,1
13220,"東大和市",76,18,68,0,0,5,40,2,12,0
13221,"清瀬市",77,7,47,3,3,3,57,5,2,0
13222,"東久留米市",138,40,131,4,0,1,9,0,2,0
13223,"武蔵村山市",40,6,33,4,15,1,9,1,3,0
13224,"多摩市",311,29,228,8,35,110,156,79,112,4
13225,"稲城市",146,15,112,7,23,55,60,38,35,6
13227,"羽村市",10,0,8,0,2,1,1,1,1,0
13228,"あきる野市",183,3,89,6,107,15,27,23,15,0
13229,"西東京市",14,7,12,2,1,0,3,1,6,1
13303,"瑞穂町",22,5,16,2,2,3,2,5,5,0
13305,"日の出町",25,1,14,2,9,5,6,8,8,0
13307,"檜原村",42,1,38,0,0,0,0,2,0,3
13308,"奥多摩町",50,0,47,0,0,1,12,2,0,0
13000,"東京都",6456,693,3832,641,1592,1701,2170,1024,2207,114
